candidate_id,rank,score,reasoning
CAND_0081846,1,105.9988,"Strong retrieval profile. 6.7 YOE as Lead AI Engineer based at Razorpay. Key project: ""Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product""."
CAND_0027691,2,104.7934,"Currently serving as NLP Engineer based at Haptik with 6.5 YOE, where they ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments""; strongly matching the search JD."
CAND_0041669,3,95.9834,"Spent 8.0 years as Recommendation Systems Engineer at CRED, focusing on accomplishments like ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)""; highly aligned with search team needs."
CAND_0000031,4,95.7453,"Recommendation Systems Engineer - 6.0 YOE with Swiggy. Skilled in Pinecone, Embeddings, Information Retrieval. Aligned with must-haves."
CAND_0052328,5,93.5876,"Experienced in ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)"" over 6.5 YOE as Recommendation Systems Engineer based at Amazon. Excellent fit for retrieval requirements."
CAND_0077337,6,93.3743,"Strong retrieval profile. 7.0 YOE as Staff Machine Learning Engineer based at Paytm. Key project: ""Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain)""."
CAND_0064326,7,93.2883,"Experienced in ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)"" over 7.6 YOE as Search Engineer with Sarvam AI. Excellent fit for retrieval requirements."
CAND_0006418,8,91.0487,"Currently serving as Machine Learning Engineer with Verloop.io with 5.7 YOE, with expertise in Embeddings, Weaviate, Qdrant; strongly matching the search JD."
CAND_0062247,9,88.73,"AI Engineer - 7.3 YOE based at Google. Accomplished in ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments"". Aligned with must-haves."
CAND_0005649,10,87.0312,"Senior Data Scientist with 7.4 YOE with Sarvam AI. Shipped: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Strong match - strongly aligned with search engineering needs. Note: 90-day notice period."
CAND_0068811,11,86.843,Applied ML Engineer with 8.0 YOE based at Freshworks. Shipped: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Strong match - highly qualified specialist for retrieval position. Note: low response rate (42%).
CAND_0007009,12,86.6451,"Strong ML candidate - 7.9 YOE as Recommendation Systems Engineer based at Wysa; offers deep expertise in Weaviate, Python, Embeddings."
CAND_0050454,13,86.1945,"Strong retrieval profile. 6.8 YOE as AI Engineer based at Rephrase.ai. Key project: ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments""."
CAND_0061257,14,83.8737,"Staff Machine Learning Engineer with 8.0 YOE at LinkedIn. Shipped: Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. Strong match - excellent match for the core retrieval role."
CAND_0075574,15,80.9097,"Experienced in ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)"" over 5.7 YOE as Machine Learning Engineer at Haptik. Excellent fit for retrieval requirements; concern: consulting background (Genpact AI)."
CAND_0081053,16,80.7731,NLP Engineer with 5.4 YOE based at Glance. Shipped: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Strong match - satisfies primary technical capabilities required. Note: 90-day notice period.
CAND_0006567,17,77.7689,"Senior AI Engineer with 7.9 YOE based at Meta. Focused on Python, Ranking Systems, scikit-learn. Strong match - satisfies primary technical capabilities required."
CAND_0054394,18,77.2557,"Recommendation Systems Engineer with 4.1 YOE based at PharmEasy. Shipped: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Strong match - satisfies primary technical capabilities required. Note: YOE (4.1) is outside target band."
CAND_0046525,19,73.639,"Senior Machine Learning Engineer - 6.1 YOE with Genpact AI. Accomplished in ""Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months"". Aligned with must-haves; note: consulting background (Genpact AI)."
CAND_0066376,20,70.9087,"Strong retrieval profile. 5.7 YOE as Applied ML Engineer with Dream11. Key project: ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking"". Gaps: low response rate (51%), 90-day notice period."
CAND_0017960,21,69.5459,"Currently serving as Recommendation Systems Engineer based at Nykaa with 7.7 YOE, where they ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)""; strongly matching the search JD."
CAND_0051004,22,68.0529,"Senior Data Scientist with 4.7 YOE with CRED. Shipped: Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control). Strong match - good alignment with retrieval-focused skills. Note: YOE (4.7) is outside target band, low response rate (41%)."
CAND_0015578,23,67.5227,"Currently serving as AI Engineer with Zoho with 5.4 YOE, where they ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)""; strongly matching the search JD; however, note 90-day notice period."
CAND_0042029,24,66.0919,"Spent 6.5 years as Senior Data Scientist at Flipkart, focusing on accomplishments like ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)""; highly aligned with search team needs."
CAND_0083879,25,66.0577,"Machine Learning Engineer - 7.1 YOE at Ola. Skilled in Milvus, Fine-tuning LLMs, scikit-learn. Aligned with must-haves; note: low response rate (47%)."
CAND_0078492,26,65.6189,"Spent 5.1 years as Recommendation Systems Engineer with Verloop.io, specializing in FAISS, Qdrant, Elasticsearch; highly aligned with search team needs."
CAND_0020877,27,65.4158,"Strong ML candidate - 5.1 YOE as Applied ML Engineer at CRED; offers deep expertise in Elasticsearch, Information Retrieval, Weaviate."
CAND_0096142,28,64.9705,"Applied ML Engineer - 5.0 YOE based at upGrad. Accomplished in ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking"". Aligned with must-haves; note: 120-day notice period."
CAND_0068932,29,60.9679,"ML Engineer with 5.2 YOE at Krutrim. Shipped: Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Strong match - fits core requirements of the JD."
CAND_0044855,30,59.4871,"Spent 6.6 years as Senior Data Scientist based at Flipkart, focusing on accomplishments like ""Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and the answer-generation layer (initially GPT-4, then a fine-tuned smaller model for cost control)""; highly aligned with search team needs."
CAND_0005260,31,59.0971,"Experienced in ""Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores"" over 5.2 YOE as Senior NLP Engineer based at Netflix. Excellent fit for retrieval requirements."
CAND_0003977,32,58.8711,"Experienced in ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments"" over 4.6 YOE as Recommendation Systems Engineer at Google. Excellent fit for retrieval requirements; concern: YOE (4.6) is outside target band."
CAND_0080766,33,58.6669,"Strong retrieval profile. 8.8 YOE as Staff Machine Learning Engineer with Salesforce. Key project: ""Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users""."
CAND_0027801,34,58.1015,"Strong ML candidate - 7.4 YOE as NLP Engineer with InMobi; offers deep expertise in FAISS, Milvus, OpenSearch; concern: 120-day notice period."
CAND_0039383,35,57.3911,"Applied ML Engineer - 7.1 YOE based at Meesho. Accomplished in ""Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments"". Aligned with must-haves; note: 90-day notice period."
CAND_0030468,36,55.8284,"Senior Applied Scientist with 5.4 YOE with Swiggy. Focused on Ranking Systems, OpenSearch, Milvus. Strong match - good alignment with retrieval-focused skills."
CAND_0028793,37,55.1464,"Search Engineer with 7.2 YOE at Google. Shipped: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Strong match - fits core requirements of the JD. Note: 120-day notice period."
CAND_0087630,38,54.6079,"Experienced in ""Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking"" over 7.2 YOE as AI Engineer at Vedantu. Excellent fit for retrieval requirements; concern: low response rate (45%)."
